"","WordPair","ID.true","Experiment","Response","Valence","Conceptual","FeatureMatch","ExperimentType"
"18","loathe-hope","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMismatch","ConceptualMatch:abstract","ConceptualMatchingOnly","Similarity"
"19","cook-sail","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","ConcreteMatch","MaxMatch","Similarity"
"20","exploit-worry","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","AbstractMatch","MaxMatch","Similarity"
"21","cook-enlighten","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"22","scorn-justify","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMismatch","AbstractMismatch","MaxMismatch","Similarity"
"23","puke-smack","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","ConcreteMatch","MaxMatch","Similarity"
"24","begin-end","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"25","get-obtain","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",99,NA,NA,"SimilarControl","Similarity"
"26","sail-vomit","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMismatch","ConceptualMatch:concrete","ConceptualMatchingOnly","Similarity"
"27","push-pull","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"28","begin-start","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",99,NA,NA,"SimilarControl","Similarity"
"29","smack-exploit","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"30","admired-believe","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","AbstractMatch","MaxMatch","Similarity"
"31","obsess-justify","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMismatch","ConceptualMatch:abstract","ConceptualMatchingOnly","Similarity"
"32","running-sail","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","ConcreteMatch","MaxMatch","Similarity"
"33","loathe-obsess","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","AbstractMatch","MaxMatch","Similarity"
"34","smile-imagine","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"35","befall-imagine","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMismatch","AbstractMismatch","MaxMismatch","Similarity"
"36","puke-slap","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","ConcreteMatch","MaxMatch","Similarity"
"37","enter-exit","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"38","ask-inquire","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",99,NA,NA,"SimilarControl","Similarity"
"39","hug-kill","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMismatch","ConceptualMatch:concrete","ConceptualMatchingOnly","Similarity"
"40","increase-decrease","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"41","end-finish","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",99,NA,NA,"SimilarControl","Similarity"
"42","vomit-worry","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"43","admired-cherish","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",67,"PositiveMatch","AbstractMatch","MaxMatch","Similarity"
"44","scorn-fulfill","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMismatch","ConceptualMatch:abstract","ConceptualMatchingOnly","Similarity"
"45","eat-smile","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","ConcreteMatch","MaxMatch","Similarity"
"46","exploit-scorn","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","AbstractMatch","MaxMatch","Similarity"
"47","hug-imagine","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"48","criticize-justify","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMismatch","AbstractMismatch","MaxMismatch","Similarity"
"49","bleed-spit","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","ConcreteMatch","MaxMatch","Similarity"
"50","arrive-leave","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"51","use-employ","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",68,NA,NA,"SimilarControl","Similarity"
"52","eat-spit","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMismatch","ConceptualMatch:concrete","ConceptualMatchingOnly","Similarity"
"53","open-close","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"54","speak-talk","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",99,NA,NA,"SimilarControl","Similarity"
"55","bleed-annoy","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"56","imagine-admired","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","AbstractMatch","MaxMatch","Similarity"
"57","loathe-imagine","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMismatch","ConceptualMatch:abstract","ConceptualMatchingOnly","Similarity"
"58","build-kiss","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","ConcreteMatch","MaxMatch","Similarity"
"59","obsess-scorn","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","AbstractMatch","MaxMatch","Similarity"
"60","cook-believe","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"61","scorn-fulfill","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMismatch","AbstractMismatch","MaxMismatch","Similarity"
"62","kill-puke","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","ConcreteMatch","MaxMatch","Similarity"
"63","rise-fall","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"64","buy-purchase","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",99,NA,NA,"SimilarControl","Similarity"
"65","running-scratch","616d94407f0e63a61e856056","Ex1a: Conc-Abs (Verbs)",0,"PositiveMismatch","ConceptualMatch:concrete","ConceptualMatchingOnly","Similarity"
"66","get-obtain","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",88,NA,NA,"SimilarControl","Similarity"
"67","enter-exit","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"68","hug-believe","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",17,"PositiveMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"69","sail-bleed","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",34,"PositiveMismatch","ConceptualMatch:concrete","ConceptualMatchingOnly","Similarity"
"70","obsess-respect","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",25,"NegativeMismatch","AbstractMismatch","MaxMismatch","Similarity"
"71","scorn-esteem","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",13,"NegativeMismatch","ConceptualMatch:abstract","ConceptualMatchingOnly","Similarity"
"72","sail-swing","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",42,"PositiveMatch","ConcreteMatch","MaxMatch","Similarity"
"73","kill-spit","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",28,"NegativeMatch","ConcreteMatch","MaxMatch","Similarity"
"74","ask-inquire","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",86,NA,NA,"SimilarControl","Similarity"
"75","imagine-justify","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",60,"PositiveMatch","AbstractMatch","MaxMatch","Similarity"
"76","slap-obsess","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",27,"NegativeMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"77","add-remove","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",1,NA,NA,"DissimilarControl","Similarity"
"78","befall-criticize","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",62,"NegativeMatch","AbstractMatch","MaxMatch","Similarity"
"79","show-display","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",85,NA,NA,"SimilarControl","Similarity"
"80","begin-end","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"81","cook-believe","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",39,"PositiveMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"82","build-kill","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",8,"PositiveMismatch","ConceptualMatch:concrete","ConceptualMatchingOnly","Similarity"
"83","resent-imagine","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",22,"NegativeMismatch","AbstractMismatch","MaxMismatch","Similarity"
"84","resent-believe","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",18,"NegativeMismatch","ConceptualMatch:abstract","ConceptualMatchingOnly","Similarity"
"85","kiss-smile","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",58,"PositiveMatch","ConcreteMatch","MaxMatch","Similarity"
"86","murder-scratch","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",38,"NegativeMatch","ConcreteMatch","MaxMatch","Similarity"
"87","need-require","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",85,NA,NA,"SimilarControl","Similarity"
"88","cherish-hope","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",60,"PositiveMatch","AbstractMatch","MaxMatch","Similarity"
"89","bleed-violate","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",54,"NegativeMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"90","come-go","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",1,NA,NA,"DissimilarControl","Similarity"
"91","loathe-violate","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",55,"NegativeMatch","AbstractMatch","MaxMatch","Similarity"
"92","use-employ","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",83,NA,NA,"SimilarControl","Similarity"
"93","push-pull","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"94","sail-imagine","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",40,"PositiveMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"95","hug-bleed","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",28,"PositiveMismatch","ConceptualMatch:concrete","ConceptualMatchingOnly","Similarity"
"96","annoy-fulfill","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",9,"NegativeMismatch","AbstractMismatch","MaxMismatch","Similarity"
"97","annoy-cherish","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",11,"NegativeMismatch","ConceptualMatch:abstract","ConceptualMatchingOnly","Similarity"
"98","cook-swing","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",14,"PositiveMatch","ConcreteMatch","MaxMatch","Similarity"
"99","scratch-stab","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",61,"NegativeMatch","ConcreteMatch","MaxMatch","Similarity"
"100","end-finish","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",99,NA,NA,"SimilarControl","Similarity"
"101","hope-respect","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",56,"PositiveMatch","AbstractMatch","MaxMatch","Similarity"
"102","vomit-loathe","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",55,"NegativeMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"103","open-close","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",2,NA,NA,"DissimilarControl","Similarity"
"104","annoy-violate","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",62,"NegativeMatch","AbstractMatch","MaxMatch","Similarity"
"105","help-assist","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",87,NA,NA,"SimilarControl","Similarity"
"106","give-take","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"107","running-enlighten","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",39,"PositiveMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"108","smile-spit","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",16,"PositiveMismatch","ConceptualMatch:concrete","ConceptualMatchingOnly","Similarity"
"109","violate-enlighten","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",15,"NegativeMismatch","AbstractMismatch","MaxMismatch","Similarity"
"110","loathe-hope","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",8,"NegativeMismatch","ConceptualMatch:abstract","ConceptualMatchingOnly","Similarity"
"111","eat-sail","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",27,"PositiveMatch","ConcreteMatch","MaxMatch","Similarity"
"112","smack-spit","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",52,"NegativeMatch","ConcreteMatch","MaxMatch","Similarity"
"113","speak-talk","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",87,NA,NA,"SimilarControl","Similarity"
"114","enlighten-cherish","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",63,"PositiveMatch","AbstractMatch","MaxMatch","Similarity"
"115","stab-violate","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",66,"NegativeMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"116","rise-fall","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"117","annoy-scorn","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",54,"NegativeMatch","AbstractMatch","MaxMatch","Similarity"
"118","begin-start","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",94,NA,NA,"SimilarControl","Similarity"
"119","increase-decrease","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"120","kiss-justify","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",58,"PositiveMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"121","eat-stab","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",43,"PositiveMismatch","ConceptualMatch:concrete","ConceptualMatchingOnly","Similarity"
"122","scorn-believe","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",11,"NegativeMismatch","AbstractMismatch","MaxMismatch","Similarity"
"123","loathe-justify","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",11,"NegativeMismatch","ConceptualMatch:abstract","ConceptualMatchingOnly","Similarity"
"124","build-sail","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",32,"PositiveMatch","ConcreteMatch","MaxMatch","Similarity"
"125","bleed-puke","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",55,"NegativeMatch","ConcreteMatch","MaxMatch","Similarity"
"126","buy-purchase","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",94,NA,NA,"SimilarControl","Similarity"
"127","imagine-believe","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",77,"PositiveMatch","AbstractMatch","MaxMatch","Similarity"
"128","scratch-befall","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",47,"NegativeMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"129","arrive-leave","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"130","exploit-obsess","5eb29a3db97d6b0008d24a1a","Ex1a: Conc-Abs (Verbs)",41,"NegativeMatch","AbstractMatch","MaxMatch","Similarity"
"131","begin-start","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",99,NA,NA,"SimilarControl","Similarity"
"132","add-remove","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"133","stab-obsess","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"134","eat-kill","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",31,"PositiveMismatch","ConceptualMatch:concrete","ConceptualMatchingOnly","Similarity"
"135","loathe-fulfill","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"NegativeMismatch","ConceptualMatch:abstract","ConceptualMatchingOnly","Similarity"
"136","annoy-scorn","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",79,"NegativeMatch","AbstractMatch","MaxMatch","Similarity"
"137","scratch-smack","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",30,"NegativeMatch","ConcreteMatch","MaxMatch","Similarity"
"138","end-finish","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",99,NA,NA,"SimilarControl","Similarity"
"139","eat-smile","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","ConcreteMatch","MaxMatch","Similarity"
"140","arrive-leave","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"141","admired-justify","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",30,"PositiveMatch","AbstractMatch","MaxMatch","Similarity"
"142","cuddle-believe","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"143","loathe-fulfill","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"NegativeMismatch","AbstractMismatch","MaxMismatch","Similarity"
"144","use-employ","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",89,NA,NA,"SimilarControl","Similarity"
"145","open-close","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"146","kill-obsess","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"147","kiss-spit","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"PositiveMismatch","ConceptualMatch:concrete","ConceptualMatchingOnly","Similarity"
"148","annoy-enlighten","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"NegativeMismatch","ConceptualMatch:abstract","ConceptualMatchingOnly","Similarity"
"149","loathe-resent","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",99,"NegativeMatch","AbstractMatch","MaxMatch","Similarity"
"150","stab-vomit","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","ConcreteMatch","MaxMatch","Similarity"
"151","buy-purchase","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",99,NA,NA,"SimilarControl","Similarity"
"152","cuddle-hug","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",82,"PositiveMatch","ConcreteMatch","MaxMatch","Similarity"
"153","enter-exit","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"154","hope-fulfill","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",63,"PositiveMatch","AbstractMatch","MaxMatch","Similarity"
"155","eat-enlighten","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"156","worry-believe","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"NegativeMismatch","AbstractMismatch","MaxMismatch","Similarity"
"157","get-obtain","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",99,NA,NA,"SimilarControl","Similarity"
"158","give-take","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"159","smack-befall","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"160","hug-murder","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"PositiveMismatch","ConceptualMatch:concrete","ConceptualMatchingOnly","Similarity"
"161","worry-believe","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"NegativeMismatch","ConceptualMatch:abstract","ConceptualMatchingOnly","Similarity"
"162","exploit-loathe","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",32,"NegativeMatch","AbstractMatch","MaxMatch","Similarity"
"163","puke-stab","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","ConcreteMatch","MaxMatch","Similarity"
"164","help-assist","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",99,NA,NA,"SimilarControl","Similarity"
"165","eat-hug","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","ConcreteMatch","MaxMatch","Similarity"
"166","increase-decrease","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"167","enlighten-believe","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","AbstractMatch","MaxMatch","Similarity"
"168","hug-admired","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"PositiveMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"169","resent-hope","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"NegativeMismatch","AbstractMismatch","MaxMismatch","Similarity"
"170","need-require","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",99,NA,NA,"SimilarControl","Similarity"
"171","push-pull","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,NA,NA,"DissimilarControl","Similarity"
"172","scratch-obsess","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","ConcreteMismatch","ValenceMatchingOnly","Similarity"
"173","swing-puke","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"PositiveMismatch","ConceptualMatch:concrete","ConceptualMatchingOnly","Similarity"
"174","obsess-hope","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"NegativeMismatch","ConceptualMatch:abstract","ConceptualMatchingOnly","Similarity"
"175","loathe-violate","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","AbstractMatch","MaxMatch","Similarity"
"176","scratch-spit","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",0,"NegativeMatch","ConcreteMatch","MaxMatch","Similarity"
"177","speak-talk","6734ab83047e85e2f8795acb","Ex1a: Conc-Abs (Verbs)",99,NA,NA,"SimilarControl","Similarity"
