,Unnamed: 0,Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,W2VSimilarity,BertSimilarity
47,83,smile,cherish,concrete-positive,abstract-positive,ValenceMatchingOnly,0.2578023672103882,0.31684178
48,110,kill,annoy,concrete-negative,abstract-negative,ValenceMatchingOnly,0.3702242374420166,0.2993495
49,169,smack,worry,concrete-negative,abstract-negative,ValenceMatchingOnly,0.1760123372077942,0.12195207
0,95,clean,burn,physical-positive,physical-negative,ConceptualMatchingOnly,0.22306157648563385,0.40746564
1,30,caress,rust,physical-positive,physical-negative,ConceptualMatchingOnly,0.12528887391090393,0.23272629
2,158,reassure,criticize,psychological-positive,psychological-negative,ConceptualMatchingOnly,0.26764971017837524,0.31773087
3,115,encourage,embarrass,psychological-positive,psychological-negative,ConceptualMatchingOnly,0.2986193597316742,0.2454176
4,69,sculpt,corrode,physical-positive,physical-negative,ConceptualMatchingOnly,0.17869147658348083,0.18663168
5,170,admire,offend,psychological-positive,psychological-negative,ConceptualMatchingOnly,0.24232269823551178,0.19858313
6,182,adore,irritate,psychological-positive,psychological-negative,ConceptualMatchingOnly,0.34906262159347534,0.23884083
7,78,twinkle,delete,physical-positive,physical-negative,ConceptualMatchingOnly,0.08800627291202545,0.1422649
8,56,produce,hit,physical-positive,physical-negative,ConceptualMatchingOnly,0.15564848482608795,0.22935823
9,82,decorate,slash,physical-positive,physical-negative,ConceptualMatchingOnly,0.18462452292442322,0.22558127
10,101,slaughter,tear,physical-negative,physical-negative,MaxMatch,0.11318354308605194,0.33114493
11,92,rust,crash,physical-negative,physical-negative,MaxMatch,0.14065730571746826,0.34079742
12,17,repair,caress,physical-positive,physical-positive,MaxMatch,0.0490255132317543,0.20110899
13,79,like,cherish,psychological-positive,psychological-positive,MaxMatch,0.24077479541301727,0.21065393
14,150,despair,criticize,psychological-negative,psychological-negative,MaxMatch,0.11457562446594238,0.35582283
15,67,appreciate,adore,psychological-positive,psychological-positive,MaxMatch,0.5097678303718567,0.46122313
16,80,reassure,respect,psychological-positive,psychological-positive,MaxMatch,0.1745842695236206,0.31691244
17,162,displease,dismay,psychological-negative,psychological-negative,MaxMatch,0.34212443232536316,0.3062837
18,0,cuddle,build,physical-positive,physical-positive,MaxMatch,0.09541716426610947,0.18042557
19,38,produce,clean,physical-positive,physical-positive,MaxMatch,0.1746353656053543,0.29032928
20,135,impress,burn,psychological-positive,physical-negative,MaxMismatch,0.1278340220451355,0.22104418
21,73,twinkle,displease,physical-positive,psychological-negative,MaxMismatch,0.11213655024766922,0.19354603
22,157,reassure,stain,psychological-positive,physical-negative,MaxMismatch,0.031311992555856705,0.1311399
23,28,repair,criticize,physical-positive,psychological-negative,MaxMismatch,0.06574298441410065,0.1603576
24,54,produce,dishonor,physical-positive,psychological-negative,MaxMismatch,-2.8881058824481443e-05,0.1920328
25,114,encourage,tear,psychological-positive,physical-negative,MaxMismatch,0.08503666520118713,0.17441949
26,180,adore,rust,psychological-positive,physical-negative,MaxMismatch,-0.010608387179672718,0.1877082
27,9,cuddle,dread,physical-positive,psychological-negative,MaxMismatch,0.20068411529064178,0.2248433
28,35,caress,embarrass,physical-positive,psychological-negative,MaxMismatch,0.1687629669904709,0.20597106
29,47,hug,dismay,physical-positive,psychological-negative,MaxMismatch,0.12283558398485184,0.26101416
30,5,produce,produce,physical-positive,physical-positive,SelfPair,0.9999999403953552,1.0000001
31,13,impress,impress,psychological-positive,psychological-positive,SelfPair,0.9999999403953552,1.0
32,7,twinkle,twinkle,physical-positive,physical-positive,SelfPair,1.0,1.0000001
33,0,cuddle,cuddle,physical-positive,physical-positive,SelfPair,1.0,0.99999994
34,37,dismay,dismay,psychological-negative,psychological-negative,SelfPair,1.0,1.0
35,20,rust,rust,physical-negative,physical-negative,SelfPair,1.0,1.0000001
36,9,clean,clean,physical-positive,physical-positive,SelfPair,1.0,1.0000001
37,19,cherish,cherish,psychological-positive,psychological-positive,SelfPair,1.0,1.0
38,35,embarrass,embarrass,psychological-negative,psychological-negative,SelfPair,1.0,1.0
39,39,dread,dread,psychological-negative,psychological-negative,SelfPair,0.9999999403953552,1.0
40,123,slash,displease,physical-negative,psychological-negative,ValenceMatchingOnly,0.2202349305152893,0.29524493
41,37,caress,admire,physical-positive,psychological-positive,ValenceMatchingOnly,0.2731073498725891,0.28224155
42,4,cuddle,like,physical-positive,psychological-positive,ValenceMatchingOnly,0.20121996104717255,0.22018844
43,138,crash,criticize,physical-negative,psychological-negative,ValenceMatchingOnly,0.04913421720266342,0.13388798
44,145,tear,embarrass,physical-negative,psychological-negative,ValenceMatchingOnly,0.2412809282541275,0.26364893
45,177,stain,dismay,physical-negative,psychological-negative,ValenceMatchingOnly,0.04105791077017784,0.1828979
46,90,clean,content,physical-positive,psychological-positive,ValenceMatchingOnly,0.06923463940620422,0.34165737
47,83,decorate,impress,physical-positive,psychological-positive,ValenceMatchingOnly,0.22484560310840607,0.35459822
48,110,slaughter,offend,physical-negative,psychological-negative,ValenceMatchingOnly,0.19106492400169373,0.19325823
49,169,hit,dread,physical-negative,psychological-negative,ValenceMatchingOnly,0.0624614916741848,0.20662391
0,95,envy,kindness,abstract-negative,abstract-positive,ConceptualMatchingOnly,0.18657812476158142,0.41293937
1,30,despair,love,abstract-negative,abstract-positive,ConceptualMatchingOnly,0.37277495861053467,0.24201539
2,158,hug,stench,concrete-positive,concrete-negative,ConceptualMatchingOnly,0.12643542885780334,0.24278644
3,115,laughter,rust,concrete-positive,concrete-negative,ConceptualMatchingOnly,0.06425677239894867,0.2849636
4,69,resentment,inspiration,abstract-negative,abstract-positive,ConceptualMatchingOnly,0.15156754851341248,0.33442444
5,170,rain,smoke,concrete-positive,concrete-negative,ConceptualMatchingOnly,0.23522143065929413,0.4329592
6,182,chocolate,mud,concrete-positive,concrete-negative,ConceptualMatchingOnly,0.18847450613975525,0.26933485
7,78,failure,gratitude,abstract-negative,abstract-positive,ConceptualMatchingOnly,0.04231295362114906,0.31605598
8,56,grief,happiness,abstract-negative,abstract-positive,ConceptualMatchingOnly,0.3625217080116272,0.3472674
9,82,shame,joy,abstract-negative,abstract-positive,ConceptualMatchingOnly,0.41177791357040405,0.2834074
10,101,hope,freedom,abstract-positive,abstract-positive,MaxMatch,0.17084623873233795,0.17852283
11,92,love,peace,abstract-positive,abstract-positive,MaxMatch,0.2225780487060547,0.45532635
12,17,anxiety,despair,abstract-negative,abstract-negative,MaxMatch,0.4982888996601105,0.35998452
13,79,beach,fireplace,concrete-positive,concrete-positive,MaxMatch,0.18904045224189758,0.32584748
14,150,rot,stench,concrete-negative,concrete-negative,MaxMatch,0.33896100521087646,0.37809283
15,67,flowers,chocolate,concrete-positive,concrete-positive,MaxMatch,0.3137047290802002,0.32955736
16,80,hug,home,concrete-positive,concrete-positive,MaxMatch,0.16902533173561096,0.28698897
17,162,vomit,injury,concrete-negative,concrete-negative,MaxMatch,0.11061860620975494,0.40037382
18,0,lonliness,regret,abstract-negative,abstract-negative,MaxMatch,0.2947113811969757,0.23487046
19,38,grief,envy,abstract-negative,abstract-negative,MaxMatch,0.2268177568912506,0.3291998
20,135,peace,rust,abstract-positive,concrete-negative,MaxMismatch,0.009934632107615471,0.3062126
21,73,failure,music,abstract-negative,concrete-positive,MaxMismatch,0.030982881784439087,0.2998797
22,157,kindness,injury,abstract-positive,concrete-negative,MaxMismatch,0.025565197691321373,0.3022663
23,28,anxiety,chocolate,abstract-negative,concrete-positive,MaxMismatch,0.14451918005943298,0.27845037
24,54,grief,beach,abstract-negative,concrete-positive,MaxMismatch,0.048131853342056274,0.24115422
25,114,hope,garbage,abstract-positive,concrete-negative,MaxMismatch,0.10780809819698334,0.21323739
26,180,gratitude,smoke,abstract-positive,concrete-negative,MaxMismatch,0.07175765931606293,0.2709712
27,9,lonliness,fireplace,abstract-negative,concrete-positive,MaxMismatch,0.07813892513513565,0.14948076
28,35,despair,hug,abstract-negative,concrete-positive,MaxMismatch,0.20585186779499054,0.27755058
29,47,guilt,rain,abstract-negative,concrete-positive,MaxMismatch,0.04038718342781067,0.30687922
30,5,grief,grief,abstract-negative,abstract-negative,SelfPair,1.0,1.0000001
31,13,music,music,concrete-positive,concrete-positive,SelfPair,1.0,0.99999994
32,7,failure,failure,abstract-negative,abstract-negative,SelfPair,0.9999999403953552,1.0
33,0,lonliness,lonliness,abstract-negative,abstract-negative,SelfPair,1.0,1.0000001
34,37,injury,injury,concrete-negative,concrete-negative,SelfPair,1.0,1.0
35,20,love,love,abstract-positive,abstract-positive,SelfPair,1.0000001192092896,0.9999999
36,9,envy,envy,abstract-negative,abstract-negative,SelfPair,0.9999999403953552,1.0
37,19,fireplace,fireplace,concrete-positive,concrete-positive,SelfPair,1.0,1.0000001
38,35,rust,rust,concrete-negative,concrete-negative,SelfPair,1.0,1.0000001
39,39,filth,filth,concrete-negative,concrete-negative,SelfPair,1.0,1.0000002
40,123,flowers,peace,concrete-positive,abstract-positive,ValenceMatchingOnly,0.15540796518325806,0.2865206
41,37,despair,injury,abstract-negative,concrete-negative,ValenceMatchingOnly,0.054360710084438324,0.18680471
42,4,lonliness,garbage,abstract-negative,concrete-negative,ValenceMatchingOnly,0.09478287398815155,0.28535214
43,138,music,gratitude,concrete-positive,abstract-positive,ValenceMatchingOnly,0.09346634894609451,0.32969052
44,145,beach,kindness,concrete-positive,abstract-positive,ValenceMatchingOnly,0.04314476624131203,0.16017468
45,177,rain,compassion,concrete-positive,abstract-positive,ValenceMatchingOnly,0.09705901890993118,0.29510048
46,90,envy,smoke,abstract-negative,concrete-negative,ValenceMatchingOnly,0.1661706268787384,0.25401124
47,83,shame,vomit,abstract-negative,concrete-negative,ValenceMatchingOnly,0.26626816391944885,0.1623846
48,110,laughter,love,concrete-positive,abstract-positive,ValenceMatchingOnly,0.3016693592071533,0.4473853
49,169,home,inspiration,concrete-positive,abstract-positive,ValenceMatchingOnly,0.10721169412136078,0.3396181
0,95,corpse,feast,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,0.2042776197195053,0.28488392
1,30,cocaine,prize,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,0.13982288539409637,0.36518717
2,158,dictator,chipmunk,animate-negative,animate-positive,ConceptualMatchingOnly,0.09902650117874146,0.22117457
3,115,asshole,bunny,animate-negative,animate-positive,ConceptualMatchingOnly,0.2239616960287094,0.23186153
4,69,gunshot,meadow,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,0.11580866575241089,0.1207819
5,170,tapeworm,comedian,animate-negative,animate-positive,ConceptualMatchingOnly,0.146876260638237,0.2378171
6,182,intruder,sibling,animate-negative,animate-positive,ConceptualMatchingOnly,0.12867885828018188,0.32781082
7,78,flood,sandwich,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,-0.06580554693937302,0.32701167
8,56,poison,doughnut,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,,0.2634204
9,82,smallpox,award,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,0.013675098307430744,0.22643313
10,101,asshole,inmate,animate-negative,animate-negative,MaxMatch,0.1555858701467514,0.269608
11,92,slave,widow,animate-negative,animate-negative,MaxMatch,0.17287811636924744,0.3147139
12,17,wiretap,cocaine,inanimate-negative,inanimate-negative,MaxMatch,0.16167694330215454,0.31807554
13,79,laughter,meadow,inanimate-positive,inanimate-positive,MaxMatch,0.1992022693157196,0.10510071
14,150,puppy,chipmunk,animate-positive,animate-positive,MaxMatch,0.39475342631340027,0.25095037
15,67,award,sandwich,inanimate-positive,inanimate-positive,MaxMatch,0.04415508359670639,0.26046073
16,80,feast,doughnut,inanimate-positive,inanimate-positive,MaxMatch,,0.21503273
17,162,duckling,princess,animate-positive,animate-positive,MaxMatch,0.27753594517707825,0.28248143
18,0,heroin,swastika,inanimate-negative,inanimate-negative,MaxMatch,0.10624588280916214,0.14559287
19,38,poison,corpse,inanimate-negative,inanimate-negative,MaxMatch,0.24004462361335754,0.45442376
20,135,pizza,dictator,inanimate-positive,animate-negative,MaxMismatch,0.05785436928272247,0.2695052
21,73,flood,duckling,inanimate-negative,animate-positive,MaxMismatch,0.0764656588435173,0.28155512
22,157,feast,tapeworm,inanimate-positive,animate-negative,MaxMismatch,0.1491827368736267,0.20990492
23,28,wiretap,chipmunk,inanimate-negative,animate-positive,MaxMismatch,0.08723708987236023,0.16426483
24,54,poison,kitten,inanimate-negative,animate-positive,MaxMismatch,0.19728189706802368,0.39995313
25,114,sunshine,inmate,inanimate-positive,animate-negative,MaxMismatch,0.026621311902999878,0.1300371
26,180,sandwich,slave,inanimate-positive,animate-negative,MaxMismatch,0.051148995757102966,0.37097606
27,9,heroin,husband,inanimate-negative,animate-positive,MaxMismatch,0.11451105028390884,0.3692743
28,35,cocaine,bunny,inanimate-negative,animate-positive,MaxMismatch,0.04307705909013748,0.3393312
29,47,excrement,princess,inanimate-negative,animate-positive,MaxMismatch,0.061510320752859116,0.20744437
30,5,poison,poison,inanimate-negative,inanimate-negative,SelfPair,1.0,1.0
31,13,pizza,pizza,inanimate-positive,inanimate-positive,SelfPair,1.0,0.99999994
32,7,flood,flood,inanimate-negative,inanimate-negative,SelfPair,1.0,1.0
33,0,heroin,heroin,inanimate-negative,inanimate-negative,SelfPair,1.0,1.0
34,37,princess,princess,animate-positive,animate-positive,SelfPair,1.0000001192092896,1.0000001
35,20,slave,slave,animate-negative,animate-negative,SelfPair,0.9999999403953552,1.0000002
36,9,corpse,corpse,inanimate-negative,inanimate-negative,SelfPair,0.9999999403953552,1.0
37,19,meadow,meadow,inanimate-positive,inanimate-positive,SelfPair,1.0,1.0
38,35,bunny,bunny,animate-positive,animate-positive,SelfPair,1.0,0.9999999
39,39,husband,husband,animate-positive,animate-positive,SelfPair,1.0,1.0000002
40,123,award,duckling,inanimate-positive,animate-positive,ValenceMatchingOnly,0.046827785670757294,0.2820654
41,37,cocaine,tapeworm,inanimate-negative,animate-negative,ValenceMatchingOnly,0.12495729327201843,0.25009695
42,4,heroin,inmate,inanimate-negative,animate-negative,ValenceMatchingOnly,0.17400166392326355,0.25168866
43,138,pizza,chipmunk,inanimate-positive,animate-positive,ValenceMatchingOnly,0.14440806210041046,0.27234882
44,145,laughter,bunny,inanimate-positive,animate-positive,ValenceMatchingOnly,0.14066773653030396,0.30089748
45,177,dollar,princess,inanimate-positive,animate-positive,ValenceMatchingOnly,0.08140061795711517,0.24249643
46,90,corpse,slave,inanimate-negative,animate-negative,ValenceMatchingOnly,0.2066410481929779,0.38355938
47,83,smallpox,widow,inanimate-negative,animate-negative,ValenceMatchingOnly,0.10775649547576904,0.17967024
48,110,sunshine,comedian,inanimate-positive,animate-positive,ValenceMatchingOnly,0.04286222904920578,0.22170669
49,169,doughnut,husband,inanimate-positive,animate-positive,ValenceMatchingOnly,,0.31157464
0,95,disloyal,sensible,abstract-negative,abstract-positive,ConceptualMatchingOnly,0.1559409499168396,0.16977766
1,30,soulless,honest,abstract-negative,abstract-positive,ConceptualMatchingOnly,0.21853888034820557,0.28107145
2,158,blooming,freezing,concrete-positive,concrete-negative,ConceptualMatchingOnly,0.14732520282268524,0.2106182
3,115,lilac,hairy,concrete-positive,concrete-negative,ConceptualMatchingOnly,0.2743808925151825,0.26064873
4,69,crappy,divine,abstract-negative,abstract-positive,ConceptualMatchingOnly,0.09838825464248657,0.19219264
5,170,starry,toothless,concrete-positive,concrete-negative,ConceptualMatchingOnly,0.13486923277378082,0.2326266
6,182,pregnant,bloodshot,concrete-positive,concrete-negative,ConceptualMatchingOnly,0.0644909143447876,0.19529657
7,78,stupid,helpful,abstract-negative,abstract-positive,ConceptualMatchingOnly,0.2352284938097,0.37556708
8,56,sexist,mindful,abstract-negative,abstract-positive,ConceptualMatchingOnly,0.08544879406690598,0.302517
9,82,sinful,thankful,abstract-negative,abstract-positive,ConceptualMatchingOnly,0.10955257713794708,0.351805
10,101,lovable,possible,abstract-positive,abstract-positive,MaxMatch,-0.005133340135216713,0.30220598
11,92,honest,splendid,abstract-positive,abstract-positive,MaxMatch,0.11180948466062546,0.2543196
12,17,evil,soulless,abstract-negative,abstract-negative,MaxMatch,0.37919870018959045,0.37416434
13,79,newborn,handmade,concrete-positive,concrete-positive,MaxMatch,0.13994646072387695,0.21115692
14,150,headless,freezing,concrete-negative,concrete-negative,MaxMatch,0.022202005609869957,0.20324518
15,67,human,pregnant,concrete-positive,concrete-positive,MaxMatch,0.17735639214515686,0.30971313
16,80,blooming,orange,concrete-positive,concrete-positive,MaxMatch,0.1317235678434372,0.28221563
17,162,rusted,wrinkled,concrete-negative,concrete-negative,MaxMatch,0.43501052260398865,0.3929195
18,0,worthless,awful,abstract-negative,abstract-negative,MaxMatch,0.29545339941978455,0.3765402
19,38,sexist,disloyal,abstract-negative,abstract-negative,MaxMatch,0.36493584513664246,0.2653255
20,135,splendid,hairy,abstract-positive,concrete-negative,MaxMismatch,0.18972481787204742,0.3280118
21,73,stupid,female,abstract-negative,concrete-positive,MaxMismatch,0.08149871230125427,0.23070273
22,157,sensible,wrinkled,abstract-positive,concrete-negative,MaxMismatch,0.05629275366663933,0.24277385
23,28,evil,pregnant,abstract-negative,concrete-positive,MaxMismatch,0.06368416547775269,0.26361847
24,54,sexist,newborn,abstract-negative,concrete-positive,MaxMismatch,-0.005513480398803949,0.20181715
25,114,lovable,thorny,abstract-positive,concrete-negative,MaxMismatch,0.11271805316209793,0.29270995
26,180,helpful,toothless,abstract-positive,concrete-negative,MaxMismatch,0.14083003997802734,0.20948899
27,9,worthless,handmade,abstract-negative,concrete-positive,MaxMismatch,0.1762336790561676,0.23652211
28,35,soulless,blooming,abstract-negative,concrete-positive,MaxMismatch,0.039464838802814484,0.23764433
29,47,heartless,starry,abstract-negative,concrete-positive,MaxMismatch,0.1461530178785324,0.24840929
30,5,sexist,sexist,abstract-negative,abstract-negative,SelfPair,1.0,1.0000001
31,13,female,female,concrete-positive,concrete-positive,SelfPair,0.9999999403953552,0.9999998
32,7,stupid,stupid,abstract-negative,abstract-negative,SelfPair,1.0,1.0000001
33,0,worthless,worthless,abstract-negative,abstract-negative,SelfPair,1.0,1.0
34,37,wrinkled,wrinkled,concrete-negative,concrete-negative,SelfPair,1.0,1.0
35,20,honest,honest,abstract-positive,abstract-positive,SelfPair,1.0,1.0
36,9,disloyal,disloyal,abstract-negative,abstract-negative,SelfPair,1.0,1.0000002
37,19,handmade,handmade,concrete-positive,concrete-positive,SelfPair,1.0,1.0000002
38,35,hairy,hairy,concrete-negative,concrete-negative,SelfPair,0.9999999403953552,1.0000001
39,39,bloody,bloody,concrete-negative,concrete-negative,SelfPair,0.9999999403953552,1.0
40,123,human,splendid,concrete-positive,abstract-positive,ValenceMatchingOnly,0.05619174242019653,0.22509456
41,37,soulless,wrinkled,abstract-negative,concrete-negative,ValenceMatchingOnly,0.14742211997509003,0.23896024
42,4,worthless,thorny,abstract-negative,concrete-negative,ValenceMatchingOnly,0.07022786140441895,0.22889392
43,138,female,helpful,concrete-positive,abstract-positive,ValenceMatchingOnly,0.020490745082497597,0.3189256
44,145,newborn,sensible,concrete-positive,abstract-positive,ValenceMatchingOnly,0.03266661614179611,0.16863413
45,177,starry,pleasant,concrete-positive,abstract-positive,ValenceMatchingOnly,0.3677171468734741,0.36543584
46,90,disloyal,toothless,abstract-negative,concrete-negative,ValenceMatchingOnly,0.2070814073085785,0.17580365
47,83,sinful,rusted,abstract-negative,concrete-negative,ValenceMatchingOnly,0.14159423112869263,0.23548345
48,110,lilac,honest,concrete-positive,abstract-positive,ValenceMatchingOnly,0.03613430634140968,0.15716998
49,169,orange,divine,concrete-positive,abstract-positive,ValenceMatchingOnly,0.09806385636329651,0.30985537
0,95,smelly,decorative,physical-negative,physical-positive,ConceptualMatchingOnly,0.08084557205438614,0.31933323
1,30,comatose,fluffy,physical-negative,physical-positive,ConceptualMatchingOnly,0.13507215678691864,0.2579041
2,158,hilarious,infuriating,social-positive,social-negative,ConceptualMatchingOnly,0.45146307349205017,0.29609656
3,115,joyful,dreaded,social-positive,social-negative,ConceptualMatchingOnly,0.11795351654291153,0.40857965
4,69,rancid,newborn,physical-negative,physical-positive,ConceptualMatchingOnly,-0.010932713747024536,0.13452747
5,170,dependable,insulting,social-positive,social-negative,ConceptualMatchingOnly,-0.026850512251257896,0.26271594
6,182,courageous,grumpy,social-positive,social-negative,ConceptualMatchingOnly,0.18502727150917053,0.3477621
7,78,seasick,radiant,physical-negative,physical-positive,ConceptualMatchingOnly,0.15960955619812012,0.1676328
8,56,lifeless,nutritious,physical-negative,physical-positive,ConceptualMatchingOnly,0.06782715767621994,0.19812569
9,82,itchy,blooming,physical-negative,physical-positive,ConceptualMatchingOnly,0.2115553617477417,0.2523544
10,101,sunny,oceanic,physical-positive,physical-positive,MaxMatch,0.1770324409008026,0.3516947
11,92,fluffy,floral,physical-positive,physical-positive,MaxMatch,0.25925499200820923,0.32117927
12,17,excruciating,comatose,physical-negative,physical-negative,MaxMatch,0.25689420104026794,0.19270653
13,79,carefree,witty,social-positive,social-positive,MaxMatch,0.2741032540798187,0.2567478
14,150,greedy,infuriating,social-negative,social-negative,MaxMatch,0.29390308260917664,0.2317754
15,67,cheerful,courageous,social-positive,social-positive,MaxMatch,0.30322590470314026,0.3945387
16,80,hilarious,selfless,social-positive,social-positive,MaxMatch,0.20091965794563293,0.22915852
17,162,heartbroken,stingy,social-negative,social-negative,MaxMatch,0.1385575234889984,0.2584916
18,0,moldy,nauseous,physical-negative,physical-negative,MaxMatch,0.3405918478965759,0.3354452
19,38,lifeless,smelly,physical-negative,physical-negative,MaxMatch,0.27338823676109314,0.28038567
20,135,floral,dreaded,physical-positive,social-negative,MaxMismatch,-0.04014621302485466,0.18963794
21,73,seasick,easygoing,physical-negative,social-positive,MaxMismatch,0.21212276816368103,0.22363552
22,157,decorative,stingy,physical-positive,social-negative,MaxMismatch,0.07925380766391754,0.26541692
23,28,excruciating,courageous,physical-negative,social-positive,MaxMismatch,0.17650456726551056,0.22478348
24,54,lifeless,carefree,physical-negative,social-positive,MaxMismatch,0.2148195058107376,0.39338103
25,114,sunny,racist,physical-positive,social-negative,MaxMismatch,0.09508884698152542,0.26802048
26,180,radiant,insulting,physical-positive,social-negative,MaxMismatch,-0.019596349447965622,0.15180147
27,9,moldy,witty,physical-negative,social-positive,MaxMismatch,0.10117816179990768,0.21708186
28,35,comatose,hilarious,physical-negative,social-positive,MaxMismatch,0.1497402936220169,0.16496508
29,47,obese,dependable,physical-negative,social-positive,MaxMismatch,0.016390223056077957,0.26320732
30,5,lifeless,lifeless,physical-negative,physical-negative,SelfPair,1.0,1.0000001
31,13,easygoing,easygoing,social-positive,social-positive,SelfPair,1.0,1.0000002
32,7,seasick,seasick,physical-negative,physical-negative,SelfPair,0.9999999403953552,1.0
33,0,moldy,moldy,physical-negative,physical-negative,SelfPair,0.9999999403953552,0.99999994
34,37,stingy,stingy,social-negative,social-negative,SelfPair,1.0,1.0
35,20,fluffy,fluffy,physical-positive,physical-positive,SelfPair,1.0,1.0000001
36,9,smelly,smelly,physical-negative,physical-negative,SelfPair,1.0,1.0
37,19,witty,witty,social-positive,social-positive,SelfPair,1.0,1.0000001
